plate_well,plate,well
IVL_Plate_v3_96cassettes_ABformat_0001|1,IVL_Plate_v3_96cassettes_ABformat_0001,1
IVL_Plate_v3_96cassettes_ABformat_0001|10,IVL_Plate_v3_96cassettes_ABformat_0001,10
IVL_Plate_v3_96cassettes_ABformat_0001|11,IVL_Plate_v3_96cassettes_ABformat_0001,11
IVL_Plate_v3_96cassettes_ABformat_0001|12,IVL_Plate_v3_96cassettes_ABformat_0001,12
IVL_Plate_v3_96cassettes_ABformat_0001|13,IVL_Plate_v3_96cassettes_ABformat_0001,13
IVL_Plate_v3_96cassettes_ABformat_0001|14,IVL_Plate_v3_96cassettes_ABformat_0001,14
IVL_Plate_v3_96cassettes_ABformat_0001|15,IVL_Plate_v3_96cassettes_ABformat_0001,15
IVL_Plate_v3_96cassettes_ABformat_0001|16,IVL_Plate_v3_96cassettes_ABformat_0001,16
IVL_Plate_v3_96cassettes_ABformat_0001|2,IVL_Plate_v3_96cassettes_ABformat_0001,2
IVL_Plate_v3_96cassettes_ABformat_0001|3,IVL_Plate_v3_96cassettes_ABformat_0001,3
IVL_Plate_v3_96cassettes_ABformat_0001|4,IVL_Plate_v3_96cassettes_ABformat_0001,4
IVL_Plate_v3_96cassettes_ABformat_0001|5,IVL_Plate_v3_96cassettes_ABformat_0001,5
IVL_Plate_v3_96cassettes_ABformat_0001|6,IVL_Plate_v3_96cassettes_ABformat_0001,6
IVL_Plate_v3_96cassettes_ABformat_0001|7,IVL_Plate_v3_96cassettes_ABformat_0001,7
IVL_Plate_v3_96cassettes_ABformat_0001|8,IVL_Plate_v3_96cassettes_ABformat_0001,8
IVL_Plate_v3_96cassettes_ABformat_0001|9,IVL_Plate_v3_96cassettes_ABformat_0001,9
ivl_384_flat_v1_0001|1,ivl_384_flat_v1_0001,1
ivl_384_flat_v1_0001|3,ivl_384_flat_v1_0001,3
ivl_96_dw_v1_0001|1,ivl_96_dw_v1_0001,1
ivl_96_dw_v1_0001|2,ivl_96_dw_v1_0001,2
