step,dx,dz,volume,liquid_class,time,source,step_index,step_group_index,previous_step_index,destination,destination_group,group,previous_group
Conjugate addition,13,0.2,2,pbst,-1,conjugate_1,1,1,0,1,1,1,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_1,1,1,0,2,1,1,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_2,1,1,0,3,1,1,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_2,1,1,0,4,1,1,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_1,1,1,0,5,1,1,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_1,1,1,0,6,1,1,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_2,1,1,0,7,1,1,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_2,1,1,0,8,1,1,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_1,1,1,0,9,2,2,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_1,1,1,0,10,2,2,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_2,1,1,0,11,2,2,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_2,1,1,0,12,2,2,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_1,1,1,0,13,2,2,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_1,1,1,0,14,2,2,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_2,1,1,0,15,2,2,0
Conjugate addition,13,0.2,2,pbst,-1,conjugate_2,1,1,0,16,2,2,0
sample,0,1.0,75,water,600,Neg,2,2,0,1,1,3,0
sample,0,1.0,75,water,600,Pos,2,2,0,2,1,3,0
sample,0,1.0,75,water,600,Neg,2,2,0,3,1,3,0
sample,0,1.0,75,water,600,Pos,2,2,0,4,1,3,0
sample,0,1.0,75,water,600,Neg,2,2,0,5,1,3,0
sample,0,1.0,75,water,600,Pos,2,2,0,6,1,3,0
sample,0,1.0,75,water,600,Neg,2,2,0,7,1,3,0
sample,0,1.0,75,water,600,Pos,2,2,0,8,1,3,0
sample,0,1.0,75,water,600,Neg,2,2,0,9,2,4,0
sample,0,1.0,75,water,600,Pos,2,2,0,10,2,4,0
sample,0,1.0,75,water,600,Neg,2,2,0,11,2,4,0
sample,0,1.0,75,water,600,Pos,2,2,0,12,2,4,0
sample,0,1.0,75,water,600,Neg,2,2,0,13,2,4,0
sample,0,1.0,75,water,600,Pos,2,2,0,14,2,4,0
sample,0,1.0,75,water,600,Neg,2,2,0,15,2,4,0
sample,0,1.0,75,water,600,Pos,2,2,0,16,2,4,0
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,1,1,5,3
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,2,1,5,3
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,3,1,5,3
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,4,1,5,3
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,5,1,5,3
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,6,1,5,3
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,7,1,5,3
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,8,1,5,3
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,9,2,6,4
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,10,2,6,4
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,11,2,6,4
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,12,2,6,4
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,13,2,6,4
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,14,2,6,4
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,15,2,6,4
imaging,24,0.0,0,imaging,1500,imaging,3,3,2,16,2,6,4
